Covidence..,Study.ID,Title,Reviewer.Name,Does.the.study.include.a.socio.environmental.model.,Country...region.in.which.the.study.is.focused,Miscellaneous.Notes,Type.of.Model,Does.the.study.quantify.model.uncertainty.,How.does.this.model.quantify.uncertainty.,Does.the.model.uncertainty.approach.fall.into.any.of.the.following.categories.
149,Pluchinotta 2020,Integrating Problem Structuring Methods And Concept-Knowledge Theory For An Advanced Policy Design: Lessons From A Case Study In Cyprus,Reviewer2,Yes,Republic of Cyprus,"""Within the case study, PSMs, specifically Fuzzy Cognitive Maps (FCM), were implemented to 
elicit and structure individual problem understandings in the area, specifically detecting and 
analysing differences in stakeholder concerns and interests"" -- they used a conceptual model, FCM, to balance stakeholder interests
""A C-K theory-based tool, namely Policy-KCP (P-KCP) was improved and applied in order to overcome the barriers due to ambiguity in problem frames, and the creation of the shared concern as starting point for the generation of policy alternatives. "" -- they used FCM's to build their Policy KCP",System dynamics model; Conceptual model (non-quantitative),No,,
149,Pluchinotta 2020,Integrating Problem Structuring Methods And Concept-Knowledge Theory For An Advanced Policy Design: Lessons From A Case Study In Cyprus,Consensus,Yes,Republic of Cyprus,,System dynamics model; Conceptual model (non-quantitative),No,,
148,Yazdandoost 2015,"URBAN STORMWATER AS A WATER RESOURCE OPPORTUNITY, A NEXUS APPROACH TO DECISION MAKING",Reviewer1,Yes,Tehran,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system
148,Yazdandoost 2015,"URBAN STORMWATER AS A WATER RESOURCE OPPORTUNITY, A NEXUS APPROACH TO DECISION MAKING",Reviewer2,Yes,Iran,,"Other: A mathematical model used for simulation of urban
runoff quantity and quality in storm and combined sewer systems and natural waterways",Yes, Sensitivity analysis,Model specification
148,Yazdandoost 2015,"URBAN STORMWATER AS A WATER RESOURCE OPPORTUNITY, A NEXUS APPROACH TO DECISION MAKING",Consensus,Yes,Iran,,"Other: A mathematical model used for simulation of urban
runoff quantity and quality in storm and combined sewer systems and natural waterways",Yes, Sensitivity analysis,Model specification; Knowledge of the system
147,Polhill 2019,"Crossing the chasm: a ""tube-map' for agent-based social simulation of policy scenarios in spatially-distributed systems",Reviewer1,No,,,,,,
147,Polhill 2019,"Crossing the chasm: a ""tube-map' for agent-based social simulation of policy scenarios in spatially-distributed systems",Reviewer2,Yes,NA,it is mechanism research,Agent-based model,No,,
147,Polhill 2019,"Crossing the chasm: a ""tube-map' for agent-based social simulation of policy scenarios in spatially-distributed systems",Consensus,No,,,,Other: ,,
145,Ross 2020,Accounting for two-billion tons of stabilized soil carbon,Reviewer1,Yes,United States,,Other: machine learning - random forest,Yes,Validation / cross-validation (using empirical data),Model specification; Spatial and temporal scale issues; Empirical data limitations
145,Ross 2020,Accounting for two-billion tons of stabilized soil carbon,Reviewer2,No,,,,,,
145,Ross 2020,Accounting for two-billion tons of stabilized soil carbon,Consensus,"Other: No - no social dimension to the model. Closest is that one of the model covariates is ""historical land use""",,,,,,
142,Pelzer 2012,"Assessing innovative cropping systems with DEXiPM, a qualitative multi-criteria assessment tool derived from DEXi",Reviewer1,Yes,French region,,Other: hierarchical and qualitative multi-criteria model,Yes, Sensitivity analysis,Model specification
142,Pelzer 2012,"Assessing innovative cropping systems with DEXiPM, a qualitative multi-criteria assessment tool derived from DEXi",Reviewer2,Yes,Poitou-Charentes region of France,,Conceptual model (non-quantitative),Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
142,Pelzer 2012,"Assessing innovative cropping systems with DEXiPM, a qualitative multi-criteria assessment tool derived from DEXi",Consensus,Yes,Poitou-Charentes region of France,,Conceptual model (non-quantitative); Other: hierarchical and qualitative multi-criteria model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
139,Guede-Fernández 2021,A Deep Learning Based Object Identification System for Forest Fire Detection,Reviewer1,Yes,Portugal,,Other: Deep learning-based model,Yes,Validation / cross-validation (using empirical data),Model specification
139,Guede-Fernández 2021,A Deep Learning Based Object Identification System for Forest Fire Detection,Reviewer2,Yes,Portugal ,Do not develop a new model but use an established one for machine learning,Other: Trained a model-Fast R-CNN,No,,
139,Guede-Fernández 2021,A Deep Learning Based Object Identification System for Forest Fire Detection,Consensus,Yes,Portugal ,Do not develop a new model but use an established one for machine learning,Other: Deep learning-based model (Faster R-CNN),Yes,Validation / cross-validation (using empirical data),Model specification
138,Cobos-Mora 2023,Suitable site selection for transfer stations in a solid waste management system using analytical hierarchy process as a multi-criteria decision analysis: a case study in Azuay-Ecuador,Reviewer1,Yes,Ecuador,,Other: GIS-MCDA framework,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
138,Cobos-Mora 2023,Suitable site selection for transfer stations in a solid waste management system using analytical hierarchy process as a multi-criteria decision analysis: a case study in Azuay-Ecuador,Reviewer2,Yes,Ecuador,,Other: Analytical Hierarchical Process Model,Yes, Sensitivity analysis,Model specification
138,Cobos-Mora 2023,Suitable site selection for transfer stations in a solid waste management system using analytical hierarchy process as a multi-criteria decision analysis: a case study in Azuay-Ecuador,Consensus,Yes,Ecuador,,Other: GIS-MCDA framework & Analytical Hierarchical Process Model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
137,Liu 2018,Risk evaluation of electric vehicle charging infrastructure public-private partnership projects in China using fuzzy TOPSIS,Reviewer1,Yes,China,,Other: Fuzzy Order Preference by Similarity to Ideal Solution (Fuzzy TOPSIS),Yes, Sensitivity analysis,
137,Liu 2018,Risk evaluation of electric vehicle charging infrastructure public-private partnership projects in China using fuzzy TOPSIS,Reviewer2,Yes,China,,Other: Fuzzy TOPSIS,Yes, Sensitivity analysis,Knowledge of the system
137,Liu 2018,Risk evaluation of electric vehicle charging infrastructure public-private partnership projects in China using fuzzy TOPSIS,Consensus,Yes,China,,Other: Fuzzy Order Preference by Similarity to Ideal Solution (Fuzzy TOPSIS),Yes, Sensitivity analysis,Knowledge of the system
134,Codato 2023,Where to leave fossil fuels underground? A multi-criteria analysis to identify unburnable carbon areas in the Ecuadorian Amazon region,Reviewer1,Yes,Ecuadorian Amazon region,,Other: Spatial multi criteria decision analysis,Yes,Sensitivity analysis using factorial design,Model specification
134,Codato 2023,Where to leave fossil fuels underground? A multi-criteria analysis to identify unburnable carbon areas in the Ecuadorian Amazon region,Reviewer2,Yes,Ecuadorian,,Other: Spatial multi criteria decision analysis,No,,
134,Codato 2023,Where to leave fossil fuels underground? A multi-criteria analysis to identify unburnable carbon areas in the Ecuadorian Amazon region,Consensus,Yes,Ecuador,,Other: Spatial multi criteria decision analysis,No,,
132,Kaneko 2013,"Strategic system development toward biofuel, desertification and crop production monitoring in continental scales using satellite-based photosynthesis models",Reviewer1,No,,,,,,
132,Kaneko 2013,"Strategic system development toward biofuel, desertification and crop production monitoring in continental scales using satellite-based photosynthesis models",Reviewer2,Yes,"South America, Africa, Eastern Europe, Asia, and North America.",,Biophysical model; Conceptual model (non-quantitative),Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
132,Kaneko 2013,"Strategic system development toward biofuel, desertification and crop production monitoring in continental scales using satellite-based photosynthesis models",Consensus,Yes,"South America, Africa, Eastern Europe, Asia, and North America.",,Biophysical model; Conceptual model (non-quantitative),Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
131,Castilla-Rho 2015,An agent-based platform for simulating complex human-aquifer interactions in managed groundwater systems,Reviewer1,Yes,,,Agent-based model,Yes, Sensitivity analysis,Spatial dependence & heterogeneity issues
131,Castilla-Rho 2015,An agent-based platform for simulating complex human-aquifer interactions in managed groundwater systems,Reviewer2,Yes,Australia ,This study uses a hypothetical example to showcase their modeling platform,Agent-based model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial dependence & heterogeneity issues
131,Castilla-Rho 2015,An agent-based platform for simulating complex human-aquifer interactions in managed groundwater systems,Consensus,Yes,,Hypothetical example used,Agent-based model,Yes, Sensitivity analysis,Model specification; Spatial dependence & heterogeneity issues
129,Carriger 2018,Representing causal knowledge in environmental policy interventions: Advantages and opportunities for qualitative influence diagram applications,Reviewer1,Yes,USA,,Conceptual model (non-quantitative),No,,
129,Carriger 2018,Representing causal knowledge in environmental policy interventions: Advantages and opportunities for qualitative influence diagram applications,Reviewer2,Yes,USA,,Conceptual model (non-quantitative),No,,
129,Carriger 2018,Representing causal knowledge in environmental policy interventions: Advantages and opportunities for qualitative influence diagram applications,Consensus,Yes,USA,,Conceptual model (non-quantitative),No,,
128,Lemos 2022,Artificial intelligence and change management in small and medium-sized enterprises: an analysis of dynamics within adaptation initiatives,Reviewer1,Yes,Portugal,,Other: The entire study revolves around developing and applying a multi-criteria analysis model to analyze SME adaptation to AI tools.,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis; Other: neutrosophic logic,Knowledge of the system; Computing limitations; Empirical data limitations
128,Lemos 2022,Artificial intelligence and change management in small and medium-sized enterprises: an analysis of dynamics within adaptation initiatives,Reviewer2,No,,This paper is not relevant to socio-environmental research,,,,
128,Lemos 2022,Artificial intelligence and change management in small and medium-sized enterprises: an analysis of dynamics within adaptation initiatives,Consensus,No,Portugal,Not relevant,,Other: ,,
127,Leenhardt 2015,"Challenges, insights and perspectives associated with using social-ecological science for marine conservation",Reviewer1,Yes,,,Conceptual model (non-quantitative),No,,
127,Leenhardt 2015,"Challenges, insights and perspectives associated with using social-ecological science for marine conservation",Reviewer2,No,,,,,,
127,Leenhardt 2015,"Challenges, insights and perspectives associated with using social-ecological science for marine conservation",Consensus,No,,,,Other: ,,
126,Blanco 2017,Energy transitions and emerging economies: A multi-criteria analysis of policy options for hydropower surplus utilization in Paraguay,Reviewer1,Yes,Paraguay,,Other: Analytic Hierarchy Process model,Yes, Sensitivity analysis,Model specification
126,Blanco 2017,Energy transitions and emerging economies: A multi-criteria analysis of policy options for hydropower surplus utilization in Paraguay,Reviewer2,Yes,Paraguay,,Conceptual model (non-quantitative),Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
126,Blanco 2017,Energy transitions and emerging economies: A multi-criteria analysis of policy options for hydropower surplus utilization in Paraguay,Consensus,Yes,Paraguay,,Conceptual model (non-quantitative); Other: Analytic Hierarchy Process model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
125,Huang 2023,"Fuzzy evaluation of ecological vulnerability based on the SRP-SES method and analysis of multiple decision-making attitudes based on OWA operators: A case of Fujian Province, China",Reviewer1,Yes,China,,Other: Analytic Hierarchy Process model,Yes, Sensitivity analysis; Other: Comparison of outputs with theoretical expectations,Model specification; Knowledge of the system
125,Huang 2023,"Fuzzy evaluation of ecological vulnerability based on the SRP-SES method and analysis of multiple decision-making attitudes based on OWA operators: A case of Fujian Province, China",Reviewer2,Yes,"Fujian Province, China",,System dynamics model,Yes,Validation / cross-validation (using empirical data),Knowledge of the system
125,Huang 2023,"Fuzzy evaluation of ecological vulnerability based on the SRP-SES method and analysis of multiple decision-making attitudes based on OWA operators: A case of Fujian Province, China",Consensus,Yes,China,"Fig. 8. Moran scatter plot of the spatial autocorrelation of ecological 
vulnerability addresses spatial dependence.","Other: Analytic Hierarchy Process model,  sensitivity-resilience-pressure model, fuzzy evaluation model",Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis; Other: Comparison of outputs with theoretical expectations,Model specification; Knowledge of the system; Spatial dependence & heterogeneity issues
124,Prentice 2021,A Strategic Management Framework for the Commercialization of Multitechnology Renewable Energy Systems: The Case of Concentrating Solar Power in South Africa,Reviewer1,No,,,,,,
124,Prentice 2021,A Strategic Management Framework for the Commercialization of Multitechnology Renewable Energy Systems: The Case of Concentrating Solar Power in South Africa,Reviewer2,No,,"Only includes a ""strategic management framework"" not a socio-environmental model",,,,
124,Prentice 2021,A Strategic Management Framework for the Commercialization of Multitechnology Renewable Energy Systems: The Case of Concentrating Solar Power in South Africa,Consensus,No,,"Only includes a ""strategic management framework"" not a socio-environmental model",,,,
122,Yariyan 2020,Earthquake Vulnerability Mapping Using Different Hybrid Models,Reviewer1,Yes,Iran,Not sure if this is considered a socio-environmental model,Other: A-OWA and A-fuzzy hybrid model,,Validation / cross-validation (using empirical data); Other: Used sensitivity classes,
122,Yariyan 2020,Earthquake Vulnerability Mapping Using Different Hybrid Models,Reviewer2,Yes,Iran,,Other: Statistical methods to create an index,Yes,Validation / cross-validation (using empirical data),Knowledge of the system
122,Yariyan 2020,Earthquake Vulnerability Mapping Using Different Hybrid Models,Consensus,Yes,Iran,Not sure if this is considered a socio-environmental model,Other: A-OWA and A-fuzzy hybrid model to create an index,Yes,Validation / cross-validation (using empirical data); Other: Used sensitivity classes,Knowledge of the system
121,Moglia 2012,Multi-criteria decision assessments using Subjective Logic: Methodology and the case of urban water strategies,Reviewer1,Yes,Australia,,Other: Bayesian Network analysis,Yes, Sensitivity analysis,Model specification; Knowledge of the system
121,Moglia 2012,Multi-criteria decision assessments using Subjective Logic: Methodology and the case of urban water strategies,Reviewer2,Yes,Australia,,Other: Basic Bayesian Network framework with Subjective Logic for Multi-Criteria Decision Analysis,Yes,Other:  Subjective Logic framework,Knowledge of the system
121,Moglia 2012,Multi-criteria decision assessments using Subjective Logic: Methodology and the case of urban water strategies,Consensus,Yes,Australia,"""Unfortunately, there is no available information about probabil-
ity distributions for the outcome variables in the case study.
Instead, in the absence of rigorous sensitivity analysis, the proba-
bility distributions (i.e. standard deviation or ranges) of all vari-
ables model has been assigned using a hypothetical data set
based on discussions with the water planners, as shown in Table 3""",Other: Basic Bayesian Network framework with Subjective Logic for Multi-Criteria Decision Analysis,Yes,Other:  Subjective Logic framework,Model specification; Knowledge of the system
120,Losada 2022,Do Rock Design Formulas Based on Wave Flume Experiments Reliably Model Their Performance at Sea?,Reviewer1,No,,,,,,
120,Losada 2022,Do Rock Design Formulas Based on Wave Flume Experiments Reliably Model Their Performance at Sea?,Reviewer2,No,,,,,,
120,Losada 2022,Do Rock Design Formulas Based on Wave Flume Experiments Reliably Model Their Performance at Sea?,Consensus,No,,,,,,
118,Ge 2021,"Uncertain Analysis of Fuzzy Evaluation Model for Water Resources Carrying Capacity: A Case Study in Zanhuang County, North China Plain",Reviewer1,Yes,China,,Other: Analytic Hierarchy Process model,Yes, Sensitivity analysis,Model specification
118,Ge 2021,"Uncertain Analysis of Fuzzy Evaluation Model for Water Resources Carrying Capacity: A Case Study in Zanhuang County, North China Plain",Reviewer2,Yes,China,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
118,Ge 2021,"Uncertain Analysis of Fuzzy Evaluation Model for Water Resources Carrying Capacity: A Case Study in Zanhuang County, North China Plain",Consensus,Yes,China,,Other: Fuzzy Comprehensive Evaluation Model &Analytic Hierarchy Process model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
117,Seminar 2023,Using Precision Agriculture (PA) Approach to Select Suitable Final Disposal Sites for Energy Generation,Reviewer1,Yes,Indonesia,,Other: Spatial modeling and multi-criteria decision analysis,Yes,Validation / cross-validation (using empirical data),
117,Seminar 2023,Using Precision Agriculture (PA) Approach to Select Suitable Final Disposal Sites for Energy Generation,Reviewer2,Yes,Indonesia,,System dynamics model,Yes,Validation / cross-validation (using empirical data),Knowledge of the system; Empirical data limitations
117,Seminar 2023,Using Precision Agriculture (PA) Approach to Select Suitable Final Disposal Sites for Energy Generation,Consensus,Yes,Indonesia,,Other: Spatial modeling and multi-criteria decision analysis,Yes,Validation / cross-validation (using empirical data),Knowledge of the system; Empirical data limitations
115,Mark 2017,Glacier loss and hydro-social risks in the Peruvian Andes,Reviewer1,Yes,Peru,,Conceptual model (non-quantitative),No,,
115,Mark 2017,Glacier loss and hydro-social risks in the Peruvian Andes,Reviewer2,Yes,Peru,,Conceptual model (non-quantitative),No,,
115,Mark 2017,Glacier loss and hydro-social risks in the Peruvian Andes,Consensus,Yes,Peru,,Conceptual model (non-quantitative),No,,
114,Meuwissen 2019,A framework to assess the resilience of farming systems,Reviewer1,Yes,Netherlands,,Conceptual model (non-quantitative),No,,
114,Meuwissen 2019,A framework to assess the resilience of farming systems,Reviewer2,Yes,"Veenkoloniën, the Netherlands",on farming systems,Conceptual model (non-quantitative); Other: Mixed methods,No,,
114,Meuwissen 2019,A framework to assess the resilience of farming systems,Consensus,Yes,Netherlands,,Conceptual model (non-quantitative),No,,
112,Bondank 2020,Infrastructure Interdependency Failures From Extreme Weather Events as a Complex Process,Reviewer1,Yes,United States,,Conceptual model (non-quantitative),No,,
112,Bondank 2020,Infrastructure Interdependency Failures From Extreme Weather Events as a Complex Process,Reviewer2,No,,,,,,
112,Bondank 2020,Infrastructure Interdependency Failures From Extreme Weather Events as a Complex Process,Consensus,No,,,,Other: ,,
111,Zhou 2022,"Spatiotemporal analysis of interactions between seasonal water, climate, land use, policy, and socioeconomic changes: Hulun-Buir Steppe as a Case Study",Reviewer1,Yes,China,,System dynamics model,No,,
111,Zhou 2022,"Spatiotemporal analysis of interactions between seasonal water, climate, land use, policy, and socioeconomic changes: Hulun-Buir Steppe as a Case Study",Reviewer2,Yes,China,,"Other: Coupled models, but very scarce details on models, unclear to me",No,,Spatial and temporal scale issues
111,Zhou 2022,"Spatiotemporal analysis of interactions between seasonal water, climate, land use, policy, and socioeconomic changes: Hulun-Buir Steppe as a Case Study",Consensus,Yes,China,,"Other: Coupled models, but very scarce details on models, unclear to me",No,,
110,Shariat 2019,Risk analysis of urban stormwater infrastructure systems using fuzzy spatial multi-criteria decision making,Reviewer1,Yes,Iran,,Agent-based model,,Validation / cross-validation (using empirical data),Model specification
110,Shariat 2019,Risk analysis of urban stormwater infrastructure systems using fuzzy spatial multi-criteria decision making,Reviewer2,Yes,"District 11 of the capital city of Iran, Tehran",,Other: Fuzzy Analytic Hierarchy Process,Yes,Other: fuzzy sets theory,Model specification
110,Shariat 2019,Risk analysis of urban stormwater infrastructure systems using fuzzy spatial multi-criteria decision making,Consensus,Yes,Iran,,Other: Fuzzy Analytic Hierarchy Process,Yes,Validation / cross-validation (using empirical data); Other: fuzzy sets theory,Model specification
109,Liu 2023,The Diffusion Rule of Demand-Oriented Biogas Supply in Distributed Renewable Energy System: An Evolutionary Game-Based Approach,Reviewer1,Yes,China,,System dynamics model; Other: Evolutionary game model,, Sensitivity analysis,Model specification
109,Liu 2023,The Diffusion Rule of Demand-Oriented Biogas Supply in Distributed Renewable Energy System: An Evolutionary Game-Based Approach,Reviewer2,Yes,China,,System dynamics model,Yes, Sensitivity analysis,
109,Liu 2023,The Diffusion Rule of Demand-Oriented Biogas Supply in Distributed Renewable Energy System: An Evolutionary Game-Based Approach,Consensus,Yes,China,,System dynamics model; Other: Evolutionary game model,Yes, Sensitivity analysis,Model specification
108,Pastick 2019,Spatiotemporal remote sensing of ecosystem change and causation across Alaska,Reviewer1,Yes,United States,,Other: combination of different linear regression models,Yes,Validation / cross-validation (using empirical data),
108,Pastick 2019,Spatiotemporal remote sensing of ecosystem change and causation across Alaska,Reviewer2,Yes,USA,,System dynamics model,No,,
108,Pastick 2019,Spatiotemporal remote sensing of ecosystem change and causation across Alaska,Consensus,Yes,USA,,Other: combination of different linear regression models,Yes,Validation / cross-validation (using empirical data),Model specification
107,Yani 2022,An Adaptive Fuzzy Multi-Criteria Model for Sustainability Assessment of Sugarcane Agroindustry Supply Chain,Reviewer1,Yes,Indonesia,,Other,Yes,Other: This study uses a fuzzy approach to manage uncertainty by transforming multi-criteria inputs into crisp outputs. It also compares the fuzzy model's accuracy with other methods such as multidimensional scaling (MDS) and linear models.,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
107,Yani 2022,An Adaptive Fuzzy Multi-Criteria Model for Sustainability Assessment of Sugarcane Agroindustry Supply Chain,Reviewer2,Yes,Indonesia,,"System dynamics model; Other: Supply chain model, a combination of fuzzy inference systems and adaptive neuro-fuzzy inference system",Yes,Validation / cross-validation (using empirical data); Other: Verification of individual model inputs through literature and interviews ,Model specification; Knowledge of the system; Empirical data limitations
107,Yani 2022,An Adaptive Fuzzy Multi-Criteria Model for Sustainability Assessment of Sugarcane Agroindustry Supply Chain,Consensus,Yes,Indonesia,,System dynamics model,Yes,Validation / cross-validation (using empirical data); Other: Verification of individual model inputs through literature and interviews ,Model specification; Knowledge of the system; Empirical data limitations
106,Ogbolumani 2021,Multi-objective optimisation of constrained food-energy-water-nexus systems for sustainable resource allocation,Reviewer1,Yes,South Africa,,Other: Multi-objective optimisation system modelling,No,,
106,Ogbolumani 2021,Multi-objective optimisation of constrained food-energy-water-nexus systems for sustainable resource allocation,Reviewer2,Yes,South Africa,,Other: Optimization,No,,
106,Ogbolumani 2021,Multi-objective optimisation of constrained food-energy-water-nexus systems for sustainable resource allocation,Consensus,Yes,South Africa,,Other: Multi-objective optimisation system modelling,No,,
105,Veerkamp 2020,Future projections of biodiversity and ecosystem services in Europe with two integrated assessment models,Reviewer1,No,Global,,Biophysical model,Yes,Other: Model intercomparison and comparison of model outcomes,Knowledge of the system
105,Veerkamp 2020,Future projections of biodiversity and ecosystem services in Europe with two integrated assessment models,Reviewer2,Yes,Europe,,Other: Integrated assessment models (IMAGE- GLOBIO and CLIMSAVE),No,,
105,Veerkamp 2020,Future projections of biodiversity and ecosystem services in Europe with two integrated assessment models,Consensus,Yes,Europe,,Biophysical model; Other: Integrated assessment models (IMAGE- GLOBIO and CLIMSAVE),No,,
104,Zandi 2024,GIS-Enabled Multi-Criteria Assessment for Hospital Site Suitability: A Case Study of Tehran,Reviewer1,Yes,"Tehran, Iran",,Conceptual model (non-quantitative),Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues
104,Zandi 2024,GIS-Enabled Multi-Criteria Assessment for Hospital Site Suitability: A Case Study of Tehran,Reviewer2,Yes,Iran,,"Other: Suitability map using a combination of road networks, land use, and population information. ",Yes, Sensitivity analysis,Model specification
104,Zandi 2024,GIS-Enabled Multi-Criteria Assessment for Hospital Site Suitability: A Case Study of Tehran,Consensus,Yes,Iran,,"Other: Suitability mapping using a combination of road networks, land use, and population information. ",Yes, Sensitivity analysis,Model specification
102,daSilva 2020,Water sustainability assessment from the perspective of sustainable development capitals: Conceptual model and index based on literature review,Reviewer1,No,,,Conceptual model (non-quantitative),No,,
102,daSilva 2020,Water sustainability assessment from the perspective of sustainable development capitals: Conceptual model and index based on literature review,Reviewer2,Yes,Brazil,,Conceptual model (non-quantitative),No,,
102,daSilva 2020,Water sustainability assessment from the perspective of sustainable development capitals: Conceptual model and index based on literature review,Consensus,Yes,,,Conceptual model (non-quantitative),No,,
101,Mondal 2024,Sustainable-resilient-responsive supply chain with demand prediction: An interval type-2 robust programming approach,Reviewer1,Yes,India,,Other:  Robust-possibilistic programming,Yes,Sensitivity analysis using factorial design,Model specification
101,Mondal 2024,Sustainable-resilient-responsive supply chain with demand prediction: An interval type-2 robust programming approach,Reviewer2,Yes,India,,Conceptual model (non-quantitative); Other: Markov chain,Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
101,Mondal 2024,Sustainable-resilient-responsive supply chain with demand prediction: An interval type-2 robust programming approach,Consensus,Yes,India,Not sure if Factorial Design or not,"Conceptual model (non-quantitative); Other:  Robust-possibilistic programming, multi-objective mixed-integer programming model on sustainable-resilient-responsive supply chain, ",Yes, Sensitivity analysis; Sensitivity analysis using factorial design,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
100,Borji 2023,A Novel Sustainable Multi-objective Optimization Model for Steel Supply Chain Design Considering Technical and Managerial Issues: a Case Study,Reviewer1,Yes,Iran,,Other: multi-objective mixed-integer linear programming (MOMILP) model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
100,Borji 2023,A Novel Sustainable Multi-objective Optimization Model for Steel Supply Chain Design Considering Technical and Managerial Issues: a Case Study,Reviewer2,Yes,Iran,Case study was for Iran but model could be used elsewhere; not sure if there is an environmental component to this model,Other: SCND model,No, Sensitivity analysis,
100,Borji 2023,A Novel Sustainable Multi-objective Optimization Model for Steel Supply Chain Design Considering Technical and Managerial Issues: a Case Study,Consensus,Yes,Iran,Case study was for Iran but model could be used elsewhere; not sure if there is an environmental component to this model,"Conceptual model (non-quantitative); Other:  multi-
objective mixed-integer linear programming",Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
98,Muronda 2021,Uncertainty Analysis of Reservoir Operation Based on Stochastic Optimization Approach Using the Generalized Likelihood Uncertainty Estimation Method,Reviewer1,Yes,Iran,,Other: Statistical modeling,Yes,Other: Generalized likelihood uncertainty estimation,Model specification
98,Muronda 2021,Uncertainty Analysis of Reservoir Operation Based on Stochastic Optimization Approach Using the Generalized Likelihood Uncertainty Estimation Method,Reviewer2,Yes,Iran,,System dynamics model,Yes,Other: Comparison with other model,Model specification
98,Muronda 2021,Uncertainty Analysis of Reservoir Operation Based on Stochastic Optimization Approach Using the Generalized Likelihood Uncertainty Estimation Method,Consensus,Yes,Iran,,"Other: Autoregressive integrated moving average (ARIMA) and seasonal autoregressive integrated 
moving average (SARIMA) models",Yes,Other: Generalized likelihood uncertainty estimation,Model specification
97,Elleuch 2021,Solving a Multiple User Energy Source Selection Problem Using a Fuzzy Multi-Criteria Group Decision-Making Approach,Reviewer1,Yes,Tunisia,,Other: fuzzy multi-criteria group decision-making approach,Yes, Sensitivity analysis,Computing limitations
97,Elleuch 2021,Solving a Multiple User Energy Source Selection Problem Using a Fuzzy Multi-Criteria Group Decision-Making Approach,Reviewer2,Yes,Tunisia,,System dynamics model,Yes, Sensitivity analysis,Model specification
97,Elleuch 2021,Solving a Multiple User Energy Source Selection Problem Using a Fuzzy Multi-Criteria Group Decision-Making Approach,Consensus,Yes,Tunisia,,System dynamics model,Yes, Sensitivity analysis,Model specification
96,Halkia 2020,The Global Conflict Risk Index: A quantitative tool for policy support on conflict prevention,Reviewer1,Yes,Europe,,System dynamics model; Conceptual model (non-quantitative); Other: Global Conflict Risk Index Model,Yes,Validation / cross-validation (using empirical data),Spatial dependence & heterogeneity issues
96,Halkia 2020,The Global Conflict Risk Index: A quantitative tool for policy support on conflict prevention,Reviewer2,Yes,Global,,,,Validation / cross-validation (using empirical data),Model specification; Empirical data limitations
96,Halkia 2020,The Global Conflict Risk Index: A quantitative tool for policy support on conflict prevention,Consensus,Yes,Europe,,Conceptual model (non-quantitative); Other: Global Conflict Risk Index Model,Yes,Validation / cross-validation (using empirical data),Model specification; Spatial dependence & heterogeneity issues; Empirical data limitations
95,Estacio 2024,Impacts of socio-environmental policy mix on mitigating agricultural abandonment: An empirical agent-based modeling,Reviewer1,Yes,Philippines,,Agent-based model,Yes,Validation / cross-validation (using empirical data),Model specification; Spatial and temporal scale issues; Empirical data limitations
95,Estacio 2024,Impacts of socio-environmental policy mix on mitigating agricultural abandonment: An empirical agent-based modeling,Reviewer2,Yes,Philippines,,Agent-based model,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Computing limitations; Spatial dependence & heterogeneity issues; Empirical data limitations
95,Estacio 2024,Impacts of socio-environmental policy mix on mitigating agricultural abandonment: An empirical agent-based modeling,Consensus,Yes,Philippines,"Based on the interviews, a conceptual framework for the agent 
classes, agent attributes, agent behaviors, and agent interactions was 
derived (Fig. 2).",Agent-based model; Conceptual model (non-quantitative),Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Computing limitations; Spatial dependence & heterogeneity issues; Empirical data limitations
94,Brugnach 2008,A broadened view on the role for models in natural resource management: Implications for model development,Reviewer1,No,,,,,,
