Covidence..,Study.ID,Title,Reviewer.Name,Does.the.study.include.a.socio.environmental.model.,Country...region.in.which.the.study.is.focused,Miscellaneous.Notes,Type.of.Model,Does.the.study.quantify.model.uncertainty.,How.does.this.model.quantify.uncertainty.,Does.the.model.uncertainty.approach.fall.into.any.of.the.following.categories.
242,Mishra 2024,Evaluation and Prioritization of Sustainable Enterprise Resource Planning in SMEs Using q-Rung Orthopair Fuzzy Rough Set-Based Decision Support Model,Reviewer1,Yes,Indian,,Other: q-Rung Orthopair Fuzzy Rough Set-Based Decision Support Model,Yes, Sensitivity analysis,Model specification
242,Mishra 2024,Evaluation and Prioritization of Sustainable Enterprise Resource Planning in SMEs Using q-Rung Orthopair Fuzzy Rough Set-Based Decision Support Model,Reviewer2,Yes,India,,Other: q-Rung Orthopair Fuzzy Rough Set-Based Decision Support Model,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
242,Mishra 2024,Evaluation and Prioritization of Sustainable Enterprise Resource Planning in SMEs Using q-Rung Orthopair Fuzzy Rough Set-Based Decision Support Model,Consensus,Yes,India,,Other: q-Rung Orthopair Fuzzy Rough Set-Based Decision Support Model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
241,Zellner 2008,Embracing complexity and uncertainty: The potential of agent-based modeling for environmental planning and policy,Reviewer1,No,,,,,,
241,Zellner 2008,Embracing complexity and uncertainty: The potential of agent-based modeling for environmental planning and policy,Reviewer2,Yes,"Monroe County, Michigan",,Agent-based model,No,,
241,Zellner 2008,Embracing complexity and uncertainty: The potential of agent-based modeling for environmental planning and policy,Consensus,Yes,"Monroe County, Michigan",,Agent-based model,No,,
234,Obiedat 2013,Fuzzy representation and aggregation of fuzzy cognitive maps,Reviewer1,Yes,Not specified,,Conceptual model (non-quantitative),No,,
234,Obiedat 2013,Fuzzy representation and aggregation of fuzzy cognitive maps,Reviewer2,No,,,"Other: Fuzzy Cognitive Maps, a semi-quantitative model",No,,
234,Obiedat 2013,Fuzzy representation and aggregation of fuzzy cognitive maps,Consensus,No,,,Other: Fuzzy Cognitive Maps,No,,
233,Martínez 2023,Coupled Model for Assessing the Present and Future Watershed Vulnerabilities to Climate Change Impacts,Reviewer1,Yes,Mexico,,Other: Artificial Neural Networks,Yes,Other: Monte Carlo simulation,Spatial and temporal scale issues; Computing limitations; Empirical data limitations
233,Martínez 2023,Coupled Model for Assessing the Present and Future Watershed Vulnerabilities to Climate Change Impacts,Reviewer2,Yes,Mexico,,System dynamics model,Yes,Validation / cross-validation (using empirical data),Knowledge of the system
